iter	Passed	Remaining
160	2871	14964
161	2889	14947
162	2908	14934
163	2926	14918
164	2944	14901
165	2964	14892
166	2982	14876
167	3000	14859
168	3019	14845
169	3036	14825
170	3054	14806
171	3071	14786
172	3089	14770
173	3107	14753
174	3126	14737
175	3143	14719
176	3162	14702
177	3179	14682
178	3197	14665
179	3215	14646
180	3233	14630
181	3250	14610
182	3267	14588
183	3285	14569
184	3301	14546
185	3319	14526
186	3336	14506
187	3353	14485
188	3371	14466
189	3388	14445
190	3405	14424
191	3422	14403
192	3440	14384
193	3456	14361
194	3474	14343
195	3492	14325
196	3509	14306
197	3528	14292
198	3546	14273
199	3563	14254
200	3581	14236
201	3600	14223
202	3618	14206
203	3638	14195
204	3657	14182
205	3675	14166
206	3693	14147
207	3711	14131
208	3729	14116
209	3747	14096
210	3764	14077
211	3782	14059
212	3799	14038
213	3817	14020
214	3835	14003
215	3851	13980
216	3869	13961
217	3887	13945
218	3904	13924
219	3923	13910
220	3940	13889
221	3959	13875
222	3977	13860
223	3994	13838
224	4011	13817
225	4028	13795
226	4045	13774
227	4062	13754
228	4078	13731
229	4095	13710
230	4114	13696
231	4134	13688
232	4152	13670
233	4171	13654
234	4189	13637
235	4207	13620
236	4227	13608
237	4244	13591
238	4264	13580
239	4284	13568
240	4304	13555
241	4323	13543
242	4341	13524
243	4361	13512
244	4379	13497
245	4398	13481
246	4416	13465
247	4434	13445
248	4452	13428
249	4469	13409
250	4487	13391
251	4505	13373
252	4523	13357
253	4541	13339
254	4560	13323
255	4576	13300
256	4594	13283
257	4612	13265
258	4631	13251
259	4650	13237
260	4669	13221
261	4688	13207
262	4707	13191
263	4726	13177
264	4744	13159
265	4762	13142
266	4780	13124
267	4797	13104
268	4816	13088
269	4834	13070
270	4854	13059
271	4871	13039
272	4891	13025
273	4910	13011
274	4930	12998
275	4949	12983
276	4968	12968
277	4986	12951
278	5004	12933
279	5023	12918
280	5042	12902
281	5060	12885
282	5079	12869
283	5098	12853
284	5117	12838
285	5135	12820
286	5157	12813
287	5175	12795
288	5195	12782
289	5214	12766
290	5233	12750
291	5254	12740
292	5273	12723
293	5292	12709
294	5311	12692
295	5329	12676
296	5348	12659
297	5366	12642
298	5387	12630
299	5406	12614
300	5425	12598
301	5444	12583
302	5463	12568
303	5482	12551
304	5500	12533
305	5519	12518
306	5540	12506
307	5558	12488
308	5577	12473
309	5596	12455
310	5615	12440
311	5633	12422
312	5651	12405
313	5669	12387
314	5688	12369
315	5706	12351
316	5725	12335
317	5743	12318
318	5760	12297
319	5779	12281
320	5797	12263
321	5816	12247
322	5835	12230
323	5854	12215
324	5873	12198
325	5891	12180
326	5911	12165
327	5929	12147
328	5948	12132
329	5965	12112
330	5984	12096
331	6001	12076
332	6021	12061
333	6040	12045
334	6059	12027
335	6082	12019
336	6104	12010
337	6126	11998
338	6148	11988
339	6167	11971
340	6187	11958
341	6206	11940
342	6224	11922
343	6243	11905
344	6261	11887
345	6279	11869
346	6297	11851
347	6317	11835
348	6336	11819
349	6354	11801
350	6373	11784
351	6390	11764
352	6409	11746
353	6425	11725
354	6443	11707
355	6460	11687
356	6479	11671
357	6497	11651
358	6514	11632
359	6534	11617
360	6551	11597
361	6570	11579
362	6588	11561
363	6606	11543
364	6623	11523
365	6642	11506
366	6659	11486
367	6677	11468
368	6695	11449
369	6713	11430
370	6731	11412
371	6749	11393
372	6765	11372
373	6782	11353
374	6802	11337
375	6820	11318
376	6837	11298
377	6854	11279
378	6872	11260
379	6890	11242
380	6908	11224
381	6925	11204
382	6943	11186
383	6960	11166
384	6979	11148
385	6996	11128
386	7014	11110
387	7034	11094
388	7052	11076
389	7070	11058
390	7087	11039
391	7105	11021
392	7123	11002
393	7141	10984
394	7159	10966
395	7178	10949
396	7197	10932
397	7215	10913
398	7233	10895
399	7251	10876
400	7270	10860
401	7287	10841
402	7305	10822
403	7322	10803
404	7340	10784
405	7358	10765
406	7376	10746
407	7393	10727
408	7412	10710
409	7431	10694
410	7449	10675
411	7468	10659
412	7486	10640
413	7504	10622
414	7522	10603
415	7541	10586
416	7560	10569
417	7578	10551
418	7596	10534
419	7613	10514
420	7631	10495
421	7648	10476
422	7667	10458
423	7685	10440
424	7703	10422
425	7722	10405
426	7740	10387
427	7758	10368
428	7776	10350
429	7794	10332
430	7813	10315
431	7832	10298
432	7852	10283
433	7872	10266
434	7891	10249
435	7910	10233
436	7930	10217
437	7948	10199
438	7968	10182
439	7985	10163
440	8005	10146
441	8023	10129
442	8041	10111
443	8059	10092
444	8077	10074
445	8096	10057
446	8114	10039
447	8133	10021
448	8151	10003
449	8170	9985
450	8189	9969
451	8208	9951
452	8230	9938
453	8252	9925
454	8274	9910
455	8299	9901
456	8316	9881
457	8335	9864
458	8354	9847
459	8372	9829
460	8391	9811
461	8409	9792
462	8428	9775
463	8446	9757
464	8465	9740
465	8484	9722
466	8508	9710
467	8527	9693
468	8547	9677
469	8566	9660
470	8586	9643
471	8606	9627
472	8627	9612
473	8646	9594
474	8664	9576
475	8682	9558
476	8701	9540
477	8720	9523
478	8737	9504
479	8755	9485
480	8775	9468
481	8793	9450
482	8812	9432
483	8831	9415
484	8850	9397
485	8868	9379
486	8887	9362
487	8906	9344
488	8923	9325
489	8942	9307
490	8962	9290
491	8979	9272
492	9000	9255
493	9019	9238
494	9037	9220
495	9058	9204
496	9078	9187
497	9097	9170
498	9116	9152
499	9133	9133
500	9153	9116
501	9171	9098
502	9190	9080
503	9207	9061
504	9225	9043
505	9243	9023
506	9262	9006
507	9282	8990
508	9301	8972
509	9319	8954
510	9339	8937
511	9357	8919
512	9375	8900
513	9395	8883
514	9414	8865
515	9432	8847
516	9450	8829
517	9468	8810
518	9488	8793
519	9508	8777
520	9526	8758
521	9544	8739
522	9562	8721
523	9580	8702
524	9597	8683
525	9616	8665
526	9632	8645
527	9650	8627
528	9667	8607
529	9685	8588
530	9702	8569
531	9720	8551
532	9737	8531
533	9755	8513
534	9774	8495
535	9791	8476
536	9810	8458
537	9828	8439
538	9846	8421
539	9863	8402
540	9883	8385
541	9900	8365
542	9919	8348
543	9938	8330
544	9956	8312
545	9974	8293
546	9992	8275
547	10011	8257
548	10029	8239
549	10048	8221
550	10065	8202
551	10084	8184
552	10104	8167
553	10126	8152
554	10146	8135
555	10165	8117
556	10183	8099
557	10200	8080
558	10218	8061
559	10235	8041
560	10252	8023
561	10271	8004
562	10289	7986
563	10307	7968
564	10325	7949
565	10342	7930
566	10358	7910
567	10377	7892
568	10396	7874
569	10414	7856
570	10434	7839
571	10455	7823
572	10474	7805
573	10492	7787
574	10510	7768
575	10528	7749
576	10546	7731
577	10563	7712
578	10581	7694
579	10598	7675
580	10618	7657
581	10640	7641
582	10663	7627
583	10685	7611
584	10708	7596
585	10732	7582
586	10751	7564
587	10770	7546
588	10788	7528
589	10813	7514
590	10836	7499
591	10857	7483
592	10875	7464
593	10892	7444
594	10910	7426
595	10927	7407
596	10947	7390
597	10964	7371
598	10983	7352
599	11000	7333
600	11017	7314
601	11035	7295
602	11053	7277
603	11077	7262
604	11100	7247
605	11121	7230
606	11142	7214
607	11160	7195
608	11177	7176
609	11195	7157
610	11212	7138
611	11230	7119
612	11248	7101
613	11265	7082
614	11282	7063
615	11302	7045
616	11319	7026
617	11338	7008
618	11355	6989
619	11374	6971
620	11392	6952
621	11410	6934
622	11428	6915
623	11446	6897
624	11464	6878
625	11482	6860
626	11500	6841
627	11518	6822
628	11537	6804
629	11557	6787
630	11576	6769
631	11595	6751
632	11614	6734
633	11633	6715
634	11651	6697
635	11670	6679
636	11688	6660
637	11706	6642
638	11724	6623
639	11742	6604
640	11759	6586
641	11777	6567
642	11794	6548
643	11812	6529
644	11830	6511
645	11847	6492
646	11867	6474
647	11886	6456
648	11906	6439
649	11926	6422
650	11946	6404
651	11966	6386
652	11984	6368
653	12003	6350
654	12022	6332
655	12040	6314
656	12059	6295
657	12077	6277
658	12096	6259
659	12113	6240
660	12132	6222
661	12150	6203
662	12168	6185
663	12187	6167
664	12209	6150
665	12233	6135
666	12252	6116
667	12272	6099
668	12290	6080
669	12311	6063
670	12331	6046
671	12350	6028
672	12371	6011
673	12393	5994
674	12415	5977
675	12435	5960
676	12459	5944
677	12487	5930
678	12512	5915
679	12532	5897
680	12550	5879
681	12569	5860
682	12586	5841
683	12605	5823
684	12623	5804
685	12643	5787
686	12661	5768
687	12677	5749
688	12696	5730
689	12713	5712
690	12732	5693
691	12750	5674
692	12768	5656
693	12786	5637
694	12805	5619
695	12824	5601
696	12843	5583
697	12862	5565
698	12881	5546
699	12901	5529
700	12919	5510
701	12942	5493
702	12960	5475
703	12980	5457
704	13000	5439
705	13018	5421
706	13038	5403
707	13056	5384
708	13075	5366
709	13094	5348
710	13112	5329
711	13132	5312
712	13152	5294
713	13172	5276
714	13191	5258
715	13208	5239
716	13227	5220
717	13244	5201
718	13262	5183
719	13279	5164
720	13298	5146
721	13317	5127
722	13336	5109
723	13356	5091
724	13374	5073
725	13395	5055
726	13412	5036
727	13431	5018
728	13449	4999
729	13467	4981
730	13487	4963
731	13504	4944
732	13524	4926
733	13543	4908
734	13562	4889
735	13580	4871
736	13598	4852
737	13617	4834
738	13636	4816
739	13656	4798
740	13674	4779
741	13692	4761
742	13710	4742
743	13728	4723
744	13745	4704
745	13763	4686
746	13781	4667
747	13799	4649
748	13818	4630
749	13835	4611
750	13853	4593
751	13872	4574
752	13890	4556
753	13907	4537
754	13926	4519
755	13943	4500
756	13962	4482
757	13980	4463
758	13997	4444
759	14016	4426
760	14034	4407
761	14053	4389
762	14070	4370
763	14089	4352
764	14108	4333
765	14125	4315
766	14143	4296
767	14161	4277
768	14180	4259
769	14199	4241
770	14217	4222
771	14235	4204
772	14253	4185
773	14271	4167
774	14289	4148
775	14307	4129
776	14325	4111
777	14343	4092
778	14361	4074
779	14378	4055
780	14395	4036
781	14413	4018
782	14430	3999
783	14447	3980
784	14465	3961
785	14483	3943
786	14501	3924
787	14521	3906
788	14538	3888
789	14556	3869
790	14573	3850
791	14591	3832
792	14607	3813
793	14626	3794
794	14644	3776
795	14661	3757
796	14680	3739
797	14697	3720
798	14715	3702
799	14733	3683
800	14752	3665
801	14770	3646
802	14788	3628
803	14806	3609
804	14823	3590
805	14841	3572
806	14859	3553
807	14876	3535
808	14894	3516
809	14912	3497
810	14929	3479
811	14948	3461
812	14967	3442
813	14988	3424
814	15006	3406
815	15023	3387
816	15043	3369
817	15060	3350
818	15078	3332
819	15095	3313
820	15114	3295
821	15131	3276
822	15150	3258
823	15168	3239
824	15187	3221
825	15205	3203
826	15222	3184
827	15240	3165
828	15258	3147
829	15276	3128
830	15293	3110
831	15311	3091
832	15328	3073
833	15347	3054
834	15364	3036
835	15382	3017
836	15399	2998
837	15416	2980
838	15434	2961
839	15452	2943
840	15470	2924
841	15487	2906
842	15505	2887
843	15522	2869
844	15540	2850
845	15558	2832
846	15578	2814
847	15595	2795
848	15614	2777
849	15632	2758
850	15649	2740
851	15667	2721
852	15685	2703
853	15702	2684
854	15720	2666
855	15740	2647
856	15757	2629
857	15775	2610
858	15792	2592
859	15810	2573
860	15827	2555
861	15846	2536
862	15863	2518
863	15880	2499
864	15897	2481
865	15916	2462
866	15934	2444
867	15952	2425
868	15970	2407
869	15987	2388
870	16007	2370
871	16024	2352
872	16042	2333
873	16059	2315
874	16079	2297
875	16096	2278
876	16115	2260
877	16134	2241
878	16152	2223
879	16170	2205
880	16188	2186
881	16207	2168
882	16224	2149
883	16241	2131
884	16259	2112
885	16278	2094
886	16298	2076
887	16316	2057
888	16336	2039
889	16355	2021
890	16374	2003
891	16394	1984
892	16412	1966
893	16434	1948
894	16454	1930
895	16475	1912
896	16497	1894
897	16520	1876
898	16538	1858
899	16554	1839
900	16572	1821
901	16595	1803
902	16620	1785
903	16648	1768
904	16673	1750
905	16695	1732
906	16720	1714
907	16747	1696
908	16771	1678
909	16794	1660
910	16811	1642
911	16829	1623
912	16846	1605
913	16866	1587
914	16883	1568
915	16902	1549
916	16918	1531
917	16936	1512
918	16955	1494
919	16973	1475
920	16991	1457
921	17009	1438
922	17027	1420
923	17046	1402
924	17065	1383
925	17082	1365
926	17100	1346
927	17119	1328
928	17136	1309
929	17155	1291
930	17173	1272
931	17190	1254
932	17206	1235
933	17224	1217
934	17241	1198
935	17258	1180
936	17277	1161
937	17295	1143
938	17312	1124
939	17329	1106
940	17349	1087
941	17367	1069
942	17384	1050
943	17402	1032
944	17419	1013
945	17438	995
946	17455	976
947	17473	958
948	17491	940
949	17509	921
950	17528	903
951	17545	884
952	17564	866
953	17588	848
954	17611	829
955	17633	811
956	17651	793
957	17669	774
958	17686	756
959	17704	737
960	17721	719
961	17739	700
962	17756	682
963	17774	663
964	17792	645
965	17809	626
966	17827	608
967	17844	589
968	17863	571
969	17880	553
970	17899	534
971	17917	516
972	17935	497
973	17954	479
974	17971	460
975	17989	442
976	18006	423
977	18024	405
978	18041	386
979	18058	368
980	18075	350
981	18093	331
982	18110	313
983	18129	294
984	18146	276
985	18163	257
986	18180	239
987	18199	221
988	18216	202
989	18234	184
990	18252	165
991	18270	147
992	18288	128
993	18305	110
994	18323	92
995	18340	73
996	18357	55
997	18374	36
998	18392	18
999	18408	0
